samp	regions
BC_RA0931	westPDX
BC_RA0932	westPDX
BC_RA0933	westPDX
BC_RA0934	westPDX
BC_RA0935	westPDX
BC_RA0936	westPDX
BV_RA1092	columbia
BV_RA1093	columbia
BV_RA1094	columbia
BV_RA1297	columbia
BV_RA1299	columbia
Dow_RA0921	westPDX
Dow_RA0922	westPDX
Dow_RA0923	westPDX
Dow_RA0924	westPDX
Dow_RA0925	westPDX
Dow_RA0926	westPDX
FP_RA0948	eastPDX
FP_RA0949	eastPDX
FP_RA0950	eastPDX
FP_RA0951	eastPDX
FP_RA0952	eastPDX
FP_RA0953	eastPDX
GB_RA0941	westPDX
GB_RA0942	westPDX
GB_RA0943	westPDX
GB_RA0944	westPDX
GB_RA0945	westPDX
GB_RA0947	westPDX
JC_RA1860	westPDX
JC_RA1889	westPDX
JC_RA1890	westPDX
JC_RA1900	westPDX
KO18	southern
Mar_RA1805	hood
Mar_RA1806	hood
Mar_RA1807	hood
Mar_RA1808	hood
Mar_RA1810	hood
Oxb_RA1101	columbia
Oxb_RA1102	columbia
Oxb_RA1103c	columbia
Oxb_RA1104	columbia
Oxb_RA1105c	columbia
Oxb_RA1106	columbia
Pal_RA0957	eastPDX
Pal_RA0958	eastPDX
Pal_RA0959	eastPDX
Pal_RA0960	eastPDX
Pal_RA0961	eastPDX
PB_RA0901	westPDX
PB_RA0902	westPDX
PB_RA0903	westPDX
PB_RA0904	westPDX
PB_RA0905	westPDX
PB_RA0906	westPDX
Sal_RA1116c	hood
Sal_RA1117	hood
Sal_RA1118c	hood
Sal_RA1119	hood
Sal_RA1120	hood
TC26	southern
TC6	southern
TL14	southern
TT3	columbia
Wild_RA1112	hood
Wild_RA1113c	hood
Wild_RA1114	hood
WW_RA1088	hood
WW_RA1089	hood
WW_RA1091	hood